name	status	reason
frontend_retired.ms_flows	deferred	needs frontend filtering setup
frontend_retired.stlb_miss	deferred	needs frontend filtering setup
frontend_retired.unknown_branch	deferred	needs frontend filtering setup
temp1	excluded	hwmon event
temp_core_0	excluded	hwmon event
temp_core_1	excluded	hwmon event
temp_core_10	excluded	hwmon event
temp_core_11	excluded	hwmon event
temp_core_12	excluded	hwmon event
temp_core_13	excluded	hwmon event
temp_core_14	excluded	hwmon event
temp_core_15	excluded	hwmon event
temp_core_16	excluded	hwmon event
temp_core_17	excluded	hwmon event
temp_core_18	excluded	hwmon event
temp_core_19	excluded	hwmon event
temp_core_2	excluded	hwmon event
temp_core_20	excluded	hwmon event
temp_core_21	excluded	hwmon event
temp_core_22	excluded	hwmon event
temp_core_23	excluded	hwmon event
temp_core_24	excluded	hwmon event
temp_core_25	excluded	hwmon event
temp_core_26	excluded	hwmon event
temp_core_27	excluded	hwmon event
temp_core_28	excluded	hwmon event
temp_core_29	excluded	hwmon event
temp_core_3	excluded	hwmon event
temp_core_30	excluded	hwmon event
temp_core_31	excluded	hwmon event
temp_core_32	excluded	hwmon event
temp_core_33	excluded	hwmon event
temp_core_34	excluded	hwmon event
temp_core_35	excluded	hwmon event
temp_core_4	excluded	hwmon event
temp_core_5	excluded	hwmon event
temp_core_6	excluded	hwmon event
temp_core_7	excluded	hwmon event
temp_core_8	excluded	hwmon event
temp_core_9	excluded	hwmon event
temp_package_id_0	excluded	hwmon event
temp_package_id_1	excluded	hwmon event
mem_trans_retired.load_latency_gt_1024	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_128	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_16	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_256	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_32	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_4	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_512	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_64	deferred	requires precise sampling
mem_trans_retired.load_latency_gt_8	deferred	requires precise sampling
mem_trans_retired.store_sample	deferred	requires precise sampling
ocr.demand_code_rd.l3_miss	excluded	offcore event
ocr.demand_data_rd.l3_miss	excluded	offcore event
ocr.demand_rfo.l3_miss	excluded	offcore event
ocr.hwpf_l3.l3_miss	excluded	offcore event
ocr.hwpf_l3.l3_miss_local	excluded	offcore event
ocr.reads_to_core.l3_miss	excluded	offcore event
ocr.reads_to_core.l3_miss_local	excluded	offcore event
ocr.reads_to_core.l3_miss_local_socket	excluded	offcore event
ocr.streaming_wr.l3_miss	excluded	offcore event
ocr.streaming_wr.l3_miss_local	excluded	offcore event
offcore_requests.l3_miss_demand_data_rd	excluded	offcore event
offcore_requests_outstanding.l3_miss_demand_data_rd	excluded	offcore event
ocr.demand_code_rd.any_response	excluded	offcore event
ocr.demand_code_rd.dram	excluded	offcore event
ocr.demand_code_rd.local_dram	excluded	offcore event
ocr.demand_code_rd.snc_dram	excluded	offcore event
ocr.demand_data_rd.any_response	excluded	offcore event
ocr.demand_data_rd.dram	excluded	offcore event
ocr.demand_data_rd.local_dram	excluded	offcore event
ocr.demand_data_rd.remote_dram	excluded	offcore event
ocr.demand_data_rd.snc_dram	excluded	offcore event
ocr.demand_rfo.any_response	excluded	offcore event
ocr.demand_rfo.dram	excluded	offcore event
ocr.demand_rfo.local_dram	excluded	offcore event
ocr.demand_rfo.snc_dram	excluded	offcore event
ocr.hwpf_l1d.any_response	excluded	offcore event
ocr.hwpf_l2.any_response	excluded	offcore event
ocr.hwpf_l3.any_response	excluded	offcore event
ocr.hwpf_l3.remote	excluded	offcore event
ocr.modified_write.any_response	excluded	offcore event
ocr.reads_to_core.any_response	excluded	offcore event
ocr.reads_to_core.dram	excluded	offcore event
ocr.reads_to_core.local_dram	excluded	offcore event
ocr.reads_to_core.local_socket_dram	excluded	offcore event
ocr.reads_to_core.remote	excluded	offcore event
ocr.reads_to_core.remote_dram	excluded	offcore event
ocr.reads_to_core.remote_memory	excluded	offcore event
ocr.reads_to_core.snc_dram	excluded	offcore event
ocr.streaming_wr.any_response	excluded	offcore event
ocr.write_estimate.memory	excluded	offcore event
rs_empty.count	excluded	deprecated event
rs_empty.cycles	excluded	deprecated event
arith.divider_active	excluded	deprecated event
arith.fp_divider_active	excluded	deprecated event
arith.int_divider_active	excluded	deprecated event
int_misc.unknown_branch_cycles	deferred	needs frontend filtering setup
uops_executed.stall_cycles	excluded	deprecated event
uops_retired.ms	deferred	needs frontend filtering setup
uops_retired.stall_cycles	excluded	deprecated event
duration_time	excluded	outside the supported core PMU: tool
has_pmem	excluded	outside the supported core PMU: tool
num_cores	excluded	outside the supported core PMU: tool
num_cpus	excluded	outside the supported core PMU: tool
num_cpus_online	excluded	outside the supported core PMU: tool
num_dies	excluded	outside the supported core PMU: tool
num_packages	excluded	outside the supported core PMU: tool
smt_on	excluded	outside the supported core PMU: tool
system_time	excluded	outside the supported core PMU: tool
system_tsc_freq	excluded	outside the supported core PMU: tool
user_time	excluded	outside the supported core PMU: tool
unc_cha_bypass_cha_imc.intermediate	excluded	uncore event
unc_cha_bypass_cha_imc.not_taken	excluded	uncore event
unc_cha_bypass_cha_imc.taken	excluded	uncore event
unc_cha_clockticks	excluded	uncore event
unc_cha_cms_clockticks	excluded	uncore event
unc_cha_core_snp.any_gtone	excluded	uncore event
unc_cha_core_snp.any_one	excluded	uncore event
unc_cha_core_snp.core_gtone	excluded	uncore event
unc_cha_core_snp.core_one	excluded	uncore event
unc_cha_core_snp.evict_gtone	excluded	uncore event
unc_cha_core_snp.evict_one	excluded	uncore event
unc_cha_core_snp.ext_gtone	excluded	uncore event
unc_cha_core_snp.ext_one	excluded	uncore event
unc_cha_core_snp.remote_gtone	excluded	uncore event
unc_cha_core_snp.remote_one	excluded	uncore event
unc_cha_dir_lookup.no_snp	excluded	uncore event
unc_cha_dir_lookup.snp	excluded	uncore event
unc_cha_dir_update.ha	excluded	uncore event
unc_cha_dir_update.tor	excluded	uncore event
unc_cha_direct_go.ha_suppress_drd	excluded	uncore event
unc_cha_direct_go.ha_suppress_no_d2c	excluded	uncore event
unc_cha_direct_go.ha_tor_dealloc	excluded	uncore event
unc_cha_direct_go_opc.extcmp	excluded	uncore event
unc_cha_direct_go_opc.fast_go	excluded	uncore event
unc_cha_direct_go_opc.fast_go_pull	excluded	uncore event
unc_cha_direct_go_opc.go	excluded	uncore event
unc_cha_direct_go_opc.go_pull	excluded	uncore event
unc_cha_direct_go_opc.idle_due_suppress	excluded	uncore event
unc_cha_direct_go_opc.nop	excluded	uncore event
unc_cha_direct_go_opc.pull	excluded	uncore event
unc_cha_egress_ordering.iv_snoopgo_dn	excluded	uncore event
